,each_original_data,m/z A,m/z B,Interpretation A,Interpretation B,CorrelationScore,NormalisedScore,MassDeviation
0,y1 (1+) @ 181.38 & b9 (1+) @ 1071.1,181.38,1071.1,y1(1+),b9(1+),1.0,1.0,0.77
1,y1 (1+) @ 181.5 & [b9-NH3] (1+) @ 1053.38,181.5,1053.38,y1(1+),b9-(H2O)(1+),1.0,1.0,0.581
2,y1(1+) @ 181.74 & [b9-H3PO4] (1+) @ 973.65,181.74,973.65,y1(1+),b9-(H3PO4)(1+),1.0,1.0,0.394
3,[y2-NH3] (1+) @ 292.74 & b7 (1+) @ 844.74,292.74,844.74,y2-(H2O)(1+),b8-(H3PO4)(1+),1.0,1.0,0.502
4,[y2-NH3 ] (1+) @ 292.81 & b8 (1+) @ 942.06,292.81,942.06,y2-(H2O)(1+),b8(1+),1.0,1.0,0.439
5,[y2-H2O] (1+) @ 292.99 & [b8-NH3] (1+) @ 924.66,292.99,924.66,y2-(H2O)(1+),b8-(H2O)(1+),1.0,1.0,0.314
6,[y2-H2O] (1+) @ 292.99 & [b8-NH3] (1+) @ 924.66,292.99,924.66,y2-(H2O)(1+),b8-(NH3)(1+),1.0,1.0,0.7
7,y2 (1+) @ 310.67 & b7 (1+) @ 844.47,310.67,844.47,y2(1+),b8-(H3PO4)(1+),1.0,1.0,0.455
8,y2 (1+) @ 310.82 & b8 (1+) @ 941.96,310.82,941.96,y2(1+),b8(1+),1.0,1.0,0.516
9,y2 (1+) @ 310.96 & [b8-NH3] (1+) @ 924.24,310.96,924.24,y2(1+),b8-(H2O)(1+),1.0,1.0,0.206
10,y2 (1+) @ 311.27 & [b7-NH3] (1+) @ 826.46,311.27,826.46,y2(1+),b7-(NH3)(1+),1.0,1.0,0.234
11,[y3-NH3] (1+) @ 392.06 & [b7-NH3] (1+) @ 824.85,392.06,824.85,y3-(H2O)(1+),b7-(H2O)(1+),1.0,1.0,0.466
12,y3 (1+) @ 410.06 & b7 (1+) @ 843.07,410.06,843.07,y3(1+),b7(1+),1.0,1.0,0.273
13,y3 (1+) @ 410.08 & [b7-NH3] (1+) @ 825.18,410.08,825.18,y3(1+),b7-(H2O)(1+),1.0,1.0,0.163
14,y3 (1+) @ 410.14 & [b7-H3PO4] (1+) @ 745.45,410.14,745.45,y3(1+),b7-(H3PO4)(1+),1.0,1.0,0.13
15,y4 (1+) @ 511.14 & b6 (1+) @ 742.16,511.14,742.16,y4(1+),b6(1+),1.0,1.0,0.141
16,y4 (1+) @ 511.3 & [b6-NH3] (1+) @ 724.3,511.3,724.3,y4(1+),b6-(H2O)(1+),1.0,1.0,0.078
17,y4 (1+) @ 511.3 & [b6-NH3] (1+) @ 724.3,511.3,724.3,y4(1+),b6-(NH3)(1+),1.0,1.0,0.942
18,y4 (1+) @ 511.35 & [b6-H3PO4] (1+) @ 644.83,511.35,644.83,y4(1+),b6-(H3PO4)(1+),1.0,1.0,0.551
19,535.98 & 435.95,535.98,435.95,a4-(H2O)(1+),y4-(HCOOH)-(HCOH)(1+),1.0,1.0,0.768
20,[y5-NH3] (1+) @ 550.54 & b5 (1+) @ 685.25,550.54,685.25,y5-(H2O)(1+),b5(1+),1.0,1.0,0.29
21,[y5-NH3] (1+) @ 550.54 & b5 (1+) @ 685.25,550.54,685.25,y5-(NH3)(1+),b5(1+),1.0,1.0,0.7
22,y5 (1+) @ 568.07 & [b5-H3PO4] (1+) @ 587.19,568.07,587.19,y5(1+),b5-(H3PO4)(1+),1.0,1.0,0.206
23,y5 (1+) @ 568.12 & b5 (1+) @ 685.12,568.12,685.12,y5(1+),b5(1+),1.0,1.0,0.184
24,587.33 & 538.42,587.33,538.42,b5-(H3PO4)(1+),y5-(HCOH)(1+),1.0,1.0,0.18
25,bi3-8 (1+) @ 627.78 & y2 (1+) @ 310.79,627.78,310.79,ai(3-8)(1+),y2(1+),1.0,1.0,0.624
26,bi3-8 (1+) @ 627.78 & y2 (1+) @ 310.79,627.78,310.79,a5-(HCOH)(1+),y2(1+),1.0,1.0,0.641
27,bi3-8 (1+) @ 627.78 & y2 (1+) @ 310.79,627.78,310.79,a5-(HCOH)(1+),bi(6-9)-(HCOOH)-(HCOH)(1+),1.0,1.0,0.669
28,bi3-8 (1+) @ 627.78 & y2 (1+) @ 310.79,627.78,310.79,a5-(HCOH)(1+),ai(6-9)-(H2O)-(HCOH)(1+),1.0,1.0,0.669
29,[y6-NH3] (1+) @ 653.25 & [b4-H3PO4] (1+) @ 484.86,653.25,484.86,y6-(H2O)(1+),b4-(H3PO4)(1+),1.0,1.0,0.6
30,[y6-NH3] (1+) @ 653.29 & b4 (1+) @ 582.18,653.29,582.18,y6-(H2O)(1+),b4(1+),1.0,1.0,0.058
31,[y6-NH3] (1+) @ 653.29 & b4 (1+) @ 582.18,653.29,582.18,y6-(NH3)(1+),b4(1+),1.0,1.0,0.951
32,y6 (1+) @ 671.16 & b4 (1+) @ 582.03,671.16,582.03,y6(1+),b4(1+),1.0,1.0,0.228
33,y6 (1+) @ 671.17 & [b4-H3PO4] (1+) @ 484.11,671.17,484.11,y6(1+),b4-(H3PO4)(1+),1.0,1.0,0.18
34,b5 (1+) @ 685.65 & bi6-9 (1+) @ 387.07,685.65,387.07,b5(1+),bi(6-9)(1+),1.0,1.0,0.427
