Intensity Ranking,m/z A,Interpretation A,m/z B,Interpretation B,MassDeviation
1,475.278316,b10(2+),430.303981,y4(1+),0.012
2,607.358544,b6(1+),386.751007,y8(2+),0.021
3,354.706474,b7(2+),671.44769,y7(1+),0.014
4,494.273984,b5(1+),772.495939,y8(1+),0.027
5,336.226953,y7(2+),708.406805,b7(1+),0.023
6,494.273984,b5(1+),443.293335,y9(2+),0.026
7,304.182467,b6(2+),772.495939,y8(1+),0.01
8,381.219842,b8-(H2O)(2+),600.410172,y6(1+),0.01
9,885.581175,y9(1+),395.205158,b4(1+),0.025
10,487.32557,y5(1+),446.767412,b9(2+),0.014
11,885.581175,y9(1+),247.640337,b5(2+),0.01
12,503.78916,b11(2+),373.282078,y3(1+),0.011
13,560.331366,b12(2+),260.197727,y2(1+),0.009
14,671.44769,y7(1+),355.207922,ai(4-7)-(HCOH)(1+),0.062
15,487.32557,y5(1+),779.444239,b8(1+),0.026
16,779.444239,b8(1+),300.708345,y6(2+),0.026
17,381.721326,b8-(NH3)(2+),600.410172,y6(1+),0.001
18,607.358544,b6(1+),173.092624,bi(7-8)(1+),0.022
19,600.410172,y6(1+),690.39622,b7-(H2O)(1+),0.024
20,260.197727,y2(1+),1006.573117,b11(1+),0.017
21,447.268921,b5-(NH3)-(HCOH)(1+),487.32557,y5(1+),0.011
22,345.701159,b7-(H2O)(2+),600.410172,y6(1+),0.009
23,173.092624,bi(7-8)(1+),600.410172,y6(1+),0.003
24,185.129108,bi(8-9)(1+),708.406805,b7(1+),0.023
25,340.708926,a7(2+),671.44769,y7(1+),0.011
26,671.44769,y7(1+),607.358544,b6(1+),0.022
27,885.581175,y9(1+),248.141995,b3-(H2O)-(HCOH)(1+),0.002
28,260.197727,y2(1+),546.333698,a12(2+),0.007
29,430.303981,y4(1+),476.280942,b5-(H2O)(1+),0.01
30,260.197727,y2(1+),503.78916,b11(2+),0.011
31,561.334037,a6-(H2O)(1+),260.197727,y2(1+),0.036
32,395.205158,b4(1+),492.827426,y10(2+),0.025
33,331.703629,a7-(H2O)(2+),671.44769,y7(1+),0.007
34,395.205158,b4(1+),493.329323,ai(5-10)-2(NH3)(1+),0.038
35,708.406805,b7(1+),157.133877,ai(8-9)(1+),0.024
36,215.139591,bi(6-7)(1+),494.273984,b5(1+),0.026
37,242.150678,bi(8-10)(1+),430.303981,y4(1+),0.004
38,761.434091,b8-(H2O)(1+),300.708345,y6(2+),0.026
39,346.202639,b7-(NH3)(2+),600.410172,y6(1+),0.007
40,754.485623,y8-(H2O)(1+),494.273984,b5(1+),0.027
41,708.406805,b7(1+),337.229853,y3-2(H2O)(1+),0.038
42,672.450793,b7-2(H2O)(1+),355.207922,y3-(H2O)(1+),0.074
43,343.198692,bi(7-10)(1+),607.358544,b6(1+),0.021
44,671.44769,y7(1+),215.139591,bi(6-7)(1+),0.002
45,341.219541,ai(6-9)-(HCOH)(1+),494.273984,b5(1+),0.04
46,286.177026,bi(7-9)(1+),607.358544,b6(1+),0.022
47,494.273984,b5(1+),434.287846,y9-(H2O)(2+),0.026
48,386.751007,y8(2+),589.348575,b6-(H2O)(1+),0.021
49,600.410172,y6(1+),155.081863,bi(7-8)-(H2O)(1+),0.002
50,336.226953,y7(2+),690.39622,b7-(H2O)(1+),0.024
