,each_original_data,ion1,loss1,loss_sign1,charge1,mass1,ion2,loss2,loss_sign2,charge2,mass2,addition_mass1,addition_mass2,ion_mass1,ion_mass2,correct_mass1,correct_mass2,mass_difference1,mass_difference2,m1+m2,2m1+m2,m1+2m2,chosen_sum_from,chosen_sum
1,y6 (1+) @ 685.47 & b7 (2+) @ 420.68,y6,,,1+,685.47,b7,,,2+,420.68,0.0,0.0,684.42824,839.34497,685.43549,420.679735,0.03451000000006843,0.00026500000001306034,1106.15,1791.6200000000001,1526.83,m1+2m2,1526.83
2,y2 (1+) @ 274.0 & b11 (2+) @ 626.38,y2,,,1+,274.0,b11,,,2+,626.38,0.0,0.0,273.18008000000003,1250.5931299999997,274.18733000000003,626.3038149999999,-0.1873300000000313,0.07618500000012318,900.38,1174.38,1526.76,m1+2m2,1526.76
3,y6 (2+) @ 343.18 & b7 (1+) @ 840.4,y6,,,2+,343.18,b7,,,1+,840.4,0.0,0.0,684.42824,839.34497,343.22137,840.35222,-0.04136999999997215,0.04777999999998883,1183.58,1526.76,2023.98,2m1+m2,1526.76
4,y7 (2+) @ 407.31 & b6 (1+) @ 712.37,y7,,,2+,407.31,b6,,,1+,712.37,0.0,0.0,812.48682,711.28639,407.25066,712.29364,0.059340000000020154,0.07636000000002241,1119.68,1526.99,1832.05,2m1+m2,1526.99
5,y3 (1+) @ 387.15 & b10 (2+) @ 569.71,y3,,,1+,387.15,b10,,,2+,569.71,0.0,0.0,386.26414,1137.5090699999998,387.27139,569.7617849999999,-0.12139000000001943,-0.05178499999988162,956.86,1344.01,1526.5700000000002,m1+2m2,1526.5700000000002
6,y2 (1+) @ 273.94 & b10 (1+) @ 1138.46,y2,,,1+,273.94,b10,,,1+,1138.46,0.0,0.0,273.18008000000003,1137.5090699999998,274.18733000000003,1138.51632,-0.24733000000003358,-0.056319999999914216,1412.4,1686.3400000000001,2550.86,m1+m2,1412.4
7,y1 (1+) @ 174.65 & b12 (2+) @ 675.8,y1,,,1+,174.65,b12,,,2+,675.8,0.0,0.0,174.11167,1349.6615399999998,175.11892,675.8380199999999,-0.4689199999999971,-0.03801999999996042,850.4499999999999,1025.1,1526.25,m1+2m2,1526.25
8,y3 (1+) @ 387.19 & b9 (1+) @ 1025.41,y3,,,1+,387.19,b9,,,1+,1025.41,0.0,0.0,386.26414,1024.42501,387.27139,1025.43226,-0.08138999999999896,-0.0222599999999602,1412.6000000000001,1799.79,2438.01,m1+m2,1412.6000000000001
9,c6 (1+) @ 729.52 & y6 (1+) @ 685.6,c6,,,1+,729.52,y6,,,1+,685.6,0.0,0.0,,684.42824,,685.43549,,0.16451000000006388,1415.12,2144.64,2100.7200000000003,m1+m2,1415.12
10,y6 (1+) @ 685.52 & b6(1+) @ 712.65,y6,,,1+,685.52,b6,,,1+,712.65,0.0,0.0,684.42824,711.28639,685.43549,712.29364,0.08451000000002296,0.3563599999999951,1398.17,2083.69,2110.8199999999997,m1+m2,1398.17
11,y3 (2+) @ 193.8 & [b10-NH3] (1+) @ 1121.15,y3,,,2+,193.8,b10,NH3,-,1+,1121.15,0.0,17.02654910112,386.26414,1137.5090699999998,194.13932,1121.48977089888,-0.3393199999999865,-0.3397708988798058,1314.95,1508.75,2436.1000000000004,2m1+m2,1508.75
12,b6 (1+) @ 712.35 & bi7-8 (1+) @ 242.83,b6,,,1+,712.35,bi7-8,,,1+,242.83,0.0,0.0,711.28639,242.10151000000002,712.29364,243.10876000000002,0.0563600000000406,-0.27876000000000545,955.1800000000001,1667.53,1198.01,2m1+m2,1667.53
13,bi2-9 (1+) @ 912.43 & y4 (1+) 500.2,bi2-9,,,1+,912.43,,,,,,0.0,0.0,911.3409499999999,,912.3481999999999,,0.08180000000004384,,,,,m1+2m2,
14,y3 (1+) @ 387.1 & [b10-NH3] (2+) @ 560.95,y3,,,1+,387.1,b10,NH3,-,2+,560.95,0.0,17.02654910112,386.26414,1137.5090699999998,387.27139,561.2485104494399,-0.17138999999997395,-0.2985104494398456,948.0500000000001,1335.15,1509.0,m1+2m2,1509.0
15,y2 (1+) @ 274.1 & [b11-NH3] (2+) @ 617.47,y2,,,1+,274.1,b11,NH3,-,2+,617.47,0.0,17.02654910112,273.18008000000003,1250.5931299999997,274.18733000000003,617.7905404494398,-0.08733000000000857,-0.3205404494398181,891.57,1165.67,1509.04,m1+2m2,1509.04
16,[y9-NH3] (2+) @ 500.36 & b8 (1+) @ 954.34,y9,NH3,-,2+,500.36,b8,,,1+,954.34,17.02654910112,0.0,1016.57669,953.3879,500.78232044943996,954.39515,-0.42232044943995106,-0.055149999999912325,1454.7,1955.06,2409.04,m1+m2,1454.7
17,B6 (1+) 712.44 & [bi7-10 – HCONH2] (1+) 382.53,,,,,,,,,,,0.0,0.0,,,,,,,,,,m1+2m2,
18,[y7-NH3] (2+) @ 398.45 & b6 (1+) @ 712.41,y7,NH3,-,2+,398.45,b6,,,1+,712.41,17.02654910112,0.0,812.48682,711.28639,398.73738544943996,712.29364,-0.2873854494399666,0.11635999999998603,1110.86,1509.31,1823.27,2m1+m2,1509.31
